iter	RMSE
0	0.8520386998
1	0.8261910139
2	0.8001197053
3	0.776271768
4	0.7550590967
5	0.7358051943
6	0.717526714
7	0.7001466902
8	0.6849075045
9	0.6713880848
10	0.6592539633
11	0.6477212541
12	0.6369035589
13	0.627067497
14	0.6179469781
15	0.6097241765
16	0.6016694983
17	0.5942688971
18	0.5880989862
19	0.5822401726
20	0.5768624376
21	0.5715037693
22	0.5666515253
23	0.5622110539
24	0.5580919714
25	0.5545074666
26	0.551074224
27	0.5481241633
28	0.5450869458
29	0.5420699579
30	0.5394429978
31	0.5372963201
32	0.5349913626
33	0.5327997959
34	0.5306297368
35	0.5287744778
36	0.5272029177
37	0.5258115493
38	0.5245126417
39	0.5230694148
40	0.5216603518
41	0.5203447997
42	0.5192863988
43	0.5181260459
44	0.5171361908
45	0.51628036
46	0.5154437805
47	0.5145027791
48	0.5137091382
49	0.512909077
50	0.5121990466
51	0.5116074206
52	0.5109702038
53	0.5102832094
54	0.5096294373
55	0.5091874112
56	0.5087157165
57	0.5082394708
58	0.5075915627
59	0.507112319
60	0.5067242226
61	0.5063747255
62	0.5059558041
63	0.5055408508
64	0.5050112818
65	0.5045912492
66	0.5041729488
67	0.5036658189
68	0.5030965034
69	0.5025725267
70	0.5021216742
71	0.5017779336
72	0.5015250649
73	0.5010903186
74	0.500836725
75	0.5004799658
76	0.5002565466
77	0.4999178034
78	0.4994949809
79	0.499082326
80	0.4988743979
81	0.4987010571
82	0.4984175797
83	0.4981645341
84	0.497742236
85	0.4973365901
86	0.4970609751
87	0.4968694534
88	0.4966208036
89	0.4961492055
90	0.4958981814
91	0.4956095498
92	0.4952106244
93	0.4948404678
94	0.4944807225
95	0.4940248887
96	0.4938538461
97	0.4935914575
98	0.493272135
99	0.4930539569
100	0.49284312
101	0.4924469728
102	0.4923059367
103	0.4921094621
104	0.491858866
105	0.4916415751
106	0.4914253118
107	0.4912438179
108	0.4910130496
109	0.49078582
110	0.4906427068
111	0.4905485576
112	0.4903087779
113	0.4901736424
114	0.4899712967
115	0.4897287472
116	0.4894968027
117	0.489275565
118	0.4891254996
119	0.4889625483
120	0.4887266572
121	0.4886429902
122	0.4884231256
123	0.4881331095
124	0.4877719557
125	0.4875684501
126	0.4874197762
127	0.4872100616
128	0.4868656252
129	0.4867099549
130	0.4863995256
131	0.4862756242
132	0.4860610109
133	0.4857482766
134	0.4855954751
135	0.485441552
136	0.4852722629
137	0.4850560947
138	0.4848681437
139	0.4847231214
140	0.4844655716
141	0.4841662908
142	0.4839648005
143	0.4835340955
144	0.4832951153
145	0.4831606709
146	0.482995371
147	0.4827971116
148	0.4826318658
149	0.4823001868
150	0.4821085457
151	0.4819911677
152	0.481891707
153	0.4817505008
154	0.4815823463
155	0.4813527804
156	0.4811538903
157	0.4809357677
158	0.4807086619
159	0.480382182
160	0.4801477987
161	0.4799127406
162	0.4797272273
163	0.4795790182
164	0.4793505431
165	0.4790851756
166	0.4788860568
167	0.4787858467
168	0.4787142344
169	0.4785359699
170	0.478422958
171	0.4782469443
172	0.4780883338
173	0.477874519
174	0.4775483885
175	0.4773788168
176	0.477285772
177	0.4770726504
178	0.4769387959
179	0.4767364501
180	0.4766030259
181	0.4764968983
182	0.4762183342
183	0.4760566744
184	0.4758740853
185	0.4756617775
186	0.4755790491
187	0.4754619832
188	0.4752344372
189	0.4749626971
190	0.4748173783
191	0.4746534194
192	0.4744511516
193	0.4743668125
194	0.4741810395
195	0.4740322917
196	0.4739499627
197	0.4737579539
198	0.4736532256
199	0.4735366825
200	0.4733596616
201	0.4732525128
202	0.4731415322
203	0.4729904625
204	0.4728895209
205	0.4727414481
206	0.4724525881
207	0.4722067295
208	0.4720473845
209	0.4718625664
210	0.4716761511
211	0.4715655473
212	0.4714430251
213	0.4712809482
214	0.4710944697
215	0.4709582876
216	0.4707372618
217	0.4706372136
218	0.4704941472
219	0.4703453915
220	0.4702019299
221	0.4700686134
222	0.4699001058
223	0.4697999155
224	0.4697336799
225	0.4696465072
226	0.4694923104
227	0.4693542452
228	0.4692243476
229	0.4690755711
230	0.4688662502
231	0.4686683041
232	0.4685098412
233	0.4683794921
234	0.468240131
235	0.4681748448
236	0.4680451687
237	0.4678552936
238	0.4677154347
239	0.4676012869
240	0.4675039576
241	0.4672678764
242	0.4671595117
243	0.4670525192
244	0.4668701935
245	0.4667886999
246	0.4666854463
247	0.4666436336
248	0.466569037
249	0.4664103834
250	0.4662655855
251	0.4661478042
