iter	Passed	Remaining
0	146	145915
1	153	76382
2	158	52591
3	165	41121
4	172	34274
5	178	29563
6	185	26340
7	193	24015
8	200	22116
9	208	20656
10	215	19380
11	221	18259
12	229	17419
13	235	16561
14	241	15864
15	249	15318
16	254	14743
17	260	14222
18	267	13833
19	274	13429
20	280	13098
21	288	12805
22	293	12469
23	299	12182
24	305	11912
25	314	11773
26	321	11579
27	327	11373
28	334	11185
29	341	11038
30	348	10884
31	353	10691
32	360	10565
33	368	10461
34	375	10342
35	382	10252
36	391	10181
37	399	10107
38	405	10003
39	411	9885
40	417	9775
41	425	9697
42	432	9628
43	438	9535
44	446	9468
45	452	9377
46	458	9298
47	466	9243
48	470	9140
49	478	9094
50	488	9090
51	498	9096
52	507	9067
53	517	9062
54	528	9077
55	540	9105
56	551	9119
57	565	9192
58	577	9213
59	589	9237
60	599	9224
61	617	9338
62	626	9313
63	632	9256
64	640	9207
65	647	9163
66	654	9108
67	662	9075
68	668	9015
69	674	8964
70	680	8903
71	685	8837
72	691	8786
73	698	8739
74	704	8685
75	712	8662
76	719	8624
77	726	8584
78	732	8540
79	741	8528
80	747	8485
81	754	8442
82	764	8440
83	771	8409
84	777	8365
85	786	8356
86	793	8322
87	799	8282
88	807	8266
89	813	8226
90	819	8187
91	825	8148
92	832	8119
93	838	8077
94	844	8048
95	851	8021
96	858	7988
97	865	7962
98	871	7930
99	877	7901
100	885	7878
101	892	7858
102	898	7828
103	905	7805
104	914	7791
105	920	7760
106	926	7735
107	934	7715
108	943	7712
109	953	7714
110	962	7707
111	970	7695
112	982	7711
113	990	7701
114	998	7682
115	1003	7647
116	1011	7632
117	1019	7617
118	1027	7604
119	1034	7588
120	1043	7577
121	1050	7561
122	1058	7544
123	1065	7525
124	1071	7498
125	1078	7479
126	1084	7453
127	1091	7433
128	1097	7410
129	1103	7385
130	1111	7371
131	1118	7353
132	1124	7329
133	1130	7305
134	1136	7281
135	1143	7266
136	1150	7249
137	1157	7231
138	1164	7212
139	1170	7192
140	1178	7178
141	1185	7160
142	1191	7138
143	1197	7121
144	1204	7101
145	1210	7078
146	1217	7066
147	1224	7049
148	1232	7036
149	1237	7014
150	1246	7005
151	1252	6986
152	1258	6967
153	1265	6951
154	1272	6935
155	1278	6916
156	1284	6895
157	1289	6873
158	1298	6868
159	1303	6845
160	1308	6820
161	1314	6801
162	1321	6784
163	1327	6766
164	1332	6744
165	1339	6731
166	1346	6715
167	1354	6705
168	1360	6688
169	1368	6681
170	1375	6667
171	1381	6649
172	1387	6634
173	1395	6622
174	1402	6613
175	1408	6593
176	1414	6575
177	1422	6567
178	1428	6552
179	1437	6546
180	1442	6529
181	1450	6517
182	1456	6501
183	1462	6487
184	1469	6471
185	1475	6457
186	1481	6442
187	1488	6430
188	1496	6419
189	1501	6402
190	1510	6397
191	1516	6380
192	1523	6368
193	1529	6354
194	1537	6345
195	1544	6337
196	1550	6321
197	1557	6307
198	1563	6294
199	1570	6282
200	1576	6265
201	1581	6246
202	1586	6229
203	1592	6214
204	1600	6206
205	1607	6196
206	1613	6182
207	1620	6169
208	1626	6155
209	1635	6150
210	1643	6143
211	1650	6133
212	1658	6126
213	1668	6129
214	1684	6150
215	1698	6165
216	1711	6175
217	1722	6180
218	1729	6167
219	1737	6160
220	1748	6163
221	1762	6175
222	1772	6176
223	1781	6172
224	1788	6161
225	1795	6147
226	1799	6129
227	1806	6116
228	1813	6104
229	1819	6092
230	1826	6080
231	1832	6067
232	1840	6057
233	1846	6043
234	1853	6034
235	1860	6022
236	1867	6012
237	1873	5998
238	1879	5985
239	1887	5976
240	1896	5971
241	1902	5957
242	1908	5944
243	1915	5933
244	1922	5923
245	1928	5909
246	1934	5896
247	1939	5880
248	1945	5866
249	1950	5851
250	1956	5839
251	1962	5824
252	1967	5810
253	1973	5795
254	1979	5782
255	1986	5773
256	1992	5761
257	1999	5751
258	2005	5736
259	2011	5724
260	2017	5712
261	2023	5700
262	2030	5689
263	2036	5677
264	2043	5666
265	2049	5654
266	2054	5640
267	2061	5631
268	2067	5617
269	2075	5611
270	2084	5606
271	2094	5606
272	2102	5598
273	2108	5587
274	2117	5581
275	2124	5571
276	2132	5565
277	2139	5556
278	2148	5553
279	2156	5546
280	2166	5543
281	2175	5539
282	2184	5535
283	2190	5522
284	2196	5511
285	2202	5499
286	2208	5487
287	2215	5476
288	2222	5468
289	2227	5453
290	2233	5441
291	2240	5432
292	2246	5421
293	2252	5409
294	2258	5397
295	2265	5387
296	2271	5375
297	2275	5361
298	2281	5349
299	2288	5340
300	2296	5332
301	2301	5318
302	2306	5305
303	2310	5290
304	2319	5286
305	2327	5279
306	2334	5270
307	2340	5258
308	2347	5249
309	2353	5237
310	2359	5228
311	2365	5215
312	2370	5203
313	2375	5190
314	2382	5180
315	2388	5169
316	2393	5157
317	2401	5150
318	2407	5140
319	2413	5128
320	2419	5117
321	2425	5107
322	2432	5097
323	2437	5085
324	2442	5073
325	2448	5062
326	2453	5048
327	2457	5035
328	2463	5024
329	2469	5012
330	2474	5001
331	2479	4988
332	2484	4977
333	2491	4969
334	2497	4957
335	2503	4946
336	2508	4935
337	2515	4926
338	2520	4915
339	2526	4903
340	2532	4893
341	2538	4884
342	2544	4873
343	2550	4863
344	2555	4851
345	2560	4839
346	2566	4830
347	2572	4819
348	2578	4809
349	2584	4799
350	2590	4789
351	2595	4778
352	2600	4766
353	2606	4756
354	2612	4746
355	2618	4736
356	2623	4724
357	2629	4715
358	2634	4703
359	2639	4692
360	2646	4684
361	2653	4675
362	2661	4671
363	2667	4661
364	2672	4650
365	2679	4642
366	2685	4631
367	2691	4622
368	2697	4611
369	2703	4602
370	2708	4592
371	2714	4582
372	2720	4572
373	2726	4563
374	2731	4552
375	2737	4542
376	2742	4532
377	2747	4521
378	2754	4512
379	2759	4501
380	2764	4492
381	2770	4482
382	2776	4472
383	2783	4465
384	2790	4457
385	2800	4454
386	2808	4448
387	2817	4443
388	2823	4434
389	2829	4426
390	2842	4426
391	2853	4425
392	2862	4421
393	2878	4427
394	2887	4422
395	2897	4418
396	2906	4413
397	2912	4404
398	2919	4396
399	2929	4394
400	2934	4383
401	2939	4372
402	2944	4362
403	2950	4352
404	2956	4343
405	2961	4332
406	2966	4321
407	2971	4311
408	2976	4300
409	2982	4291
410	2987	4280
411	2992	4271
412	2998	4261
413	3003	4251
414	3008	4240
415	3013	4230
416	3018	4220
417	3023	4209
418	3028	4199
419	3034	4190
420	3039	4180
421	3044	4170
422	3049	4159
423	3054	4150
424	3059	4139
425	3064	4129
426	3070	4119
427	3076	4110
428	3080	4100
429	3086	4090
430	3091	4080
431	3096	4070
432	3101	4061
433	3106	4051
434	3112	4042
435	3117	4033
436	3123	4023
437	3129	4014
438	3135	4006
439	3140	3997
440	3145	3987
441	3152	3979
442	3157	3970
443	3163	3960
444	3168	3951
445	3174	3942
446	3181	3935
447	3188	3928
448	3196	3922
449	3203	3915
450	3211	3909
451	3218	3901
452	3227	3897
453	3236	3892
454	3245	3887
455	3254	3882
456	3261	3875
457	3269	3869
458	3274	3859
459	3280	3851
460	3286	3842
461	3292	3833
462	3299	3826
463	3304	3817
464	3309	3808
465	3314	3798
466	3319	3788
467	3324	3779
468	3329	3769
469	3335	3761
470	3340	3751
471	3344	3741
472	3349	3732
473	3354	3722
474	3359	3713
475	3364	3703
476	3369	3694
477	3373	3684
478	3378	3675
479	3383	3665
480	3388	3656
481	3393	3647
482	3398	3638
483	3403	3628
484	3408	3618
485	3412	3609
486	3417	3600
487	3423	3591
488	3427	3582
489	3432	3572
490	3436	3562
491	3441	3553
492	3446	3544
493	3451	3535
494	3455	3525
495	3460	3516
496	3465	3507
497	3471	3499
498	3476	3490
499	3481	3481
500	3486	3472
501	3491	3463
502	3496	3454
503	3501	3446
504	3506	3436
505	3511	3427
506	3516	3419
507	3522	3411
508	3526	3401
509	3531	3393
510	3536	3384
511	3541	3375
512	3546	3367
513	3551	3358
514	3556	3349
515	3561	3340
516	3566	3332
517	3571	3323
518	3576	3314
519	3581	3306
520	3586	3297
521	3591	3288
522	3595	3279
523	3600	3270
524	3605	3261
525	3610	3253
526	3615	3244
527	3620	3236
528	3625	3227
529	3630	3219
530	3636	3211
531	3642	3204
532	3648	3196
533	3653	3187
534	3658	3179
535	3663	3171
536	3668	3162
537	3673	3154
538	3678	3145
539	3683	3137
540	3688	3129
541	3693	3120
542	3697	3112
543	3702	3103
544	3707	3095
545	3712	3087
546	3717	3078
547	3721	3069
548	3727	3062
549	3732	3053
550	3737	3045
551	3742	3037
552	3746	3028
553	3751	3020
554	3756	3011
555	3761	3003
556	3766	2995
557	3771	2987
558	3776	2979
559	3780	2970
560	3785	2962
561	3790	2954
562	3795	2946
563	3800	2938
564	3805	2929
565	3810	2921
566	3815	2913
567	3820	2905
568	3826	2898
569	3830	2889
570	3835	2881
571	3840	2873
572	3844	2865
573	3849	2856
574	3854	2848
575	3859	2841
576	3864	2833
577	3869	2825
578	3874	2817
579	3879	2809
580	3884	2801
581	3889	2793
582	3894	2785
583	3899	2777
584	3904	2769
585	3909	2762
586	3914	2754
587	3919	2746
588	3924	2738
589	3929	2730
590	3935	2723
591	3940	2715
592	3945	2708
593	3950	2700
594	3956	2693
595	3962	2686
596	3967	2678
597	3975	2672
598	3983	2666
599	3990	2660
600	3999	2655
601	4008	2650
602	4019	2646
603	4028	2641
604	4038	2636
605	4050	2633
606	4063	2630
607	4070	2624
608	4075	2616
609	4080	2608
610	4084	2600
611	4089	2592
612	4094	2584
613	4098	2576
614	4103	2568
615	4107	2560
616	4111	2552
617	4116	2544
618	4121	2536
619	4125	2528
